CCL2	CXCL11
CCL2	SPP1
CCL2	IFNG
CCL2	CCL1
CCL2	CXCL13
CCL2	CXCL10
CCL2	CXCL5
CCL2	CXCL9
CCL2	CCL20
CCL1	CXCL10
CCL1	CXCL5
CCL1	CXCL11
CCL1	CNR2
CCL1	ADRA2C
CCL1	DRD2
CCL1	CXCL9
CCL1	CCL20
CCL1	S1PR5
CCL1	CXCL13
CCL13	CXCL10
CCL13	CXCL5
CCL13	CXCL11
CCL13	CNR2
CCL13	ADRA2C
CCL13	DRD2
CCL13	CCL1
CCL13	CXCL9
CCL13	CCL20
CCL13	S1PR5
CCL13	CXCL13
KRT32	KRT18
EFNB3	SEMA3E
EFNB3	EPHA6
RCVRN	GUCY2D
VTN	SPP1
VTN	FGG
ALDOC	FBP1
ALDOC	CHIT1
ALDOC	CAMP
ALDOC	LYZ
CD38	CR2
IBSP	SPP1
IBSP	DMP1
CXCL6	CXCL10
CXCL6	CXCL5
CXCL6	CXCL11
CXCL6	CNR2
CXCL6	ADRA2C
CXCL6	DRD2
CXCL6	CCL1
CXCL6	CXCL9
CXCL6	CCL20
CXCL6	CCL7
CXCL6	S1PR5
CXCL6	CXCL13
GNRHR	ADRA1D
PF4V1	CXCL11
NFKB1	PSMA8
NFKB1	IL1A
NFKB1	CHIT1
NFKB1	CAMP
NFKB1	LYZ
NFKB1	IL23R
MANBA	PIGR
IL2	IL1A
IL2	TNFRSF9
IL2	IFNG
IL2	CXCL10
IL2	IDO1
IL2	GZMB
IL2	CXCL9
IL2	IL23R
WFS1	AMBN
WFS1	SPP1
WFS1	FGG
WFS1	DMP1
WFS1	APOA1
SPI1	IRF4
CTSC	LYZ
DTX4	CNTN1
DTX4	DNER
CCND1	PSMA8
CCND1	SFRP1
APOC3	FGG
APOC3	MTTP
APOC3	APOA1
IL10RA	IFNG
IL10RA	IL24
DGAT2	LIPG
CD69	IFNG
CD69	GZMB
DAO	IL4I1
MLEC	OLR1
MLEC	SNAP25
MLEC	CLEC5A
IL23A	IL23R
SYT10	SNAP25
GLI1	PSMA8
LTA4H	CHIT1
LTA4H	CAMP
LTA4H	LYZ
ARPC3	IGLL5
ARPC3	SH3GL3
MYL2	TNNT1
LTBR	PSMA8
OAS3	GBP5
OAS3	IRF4
ART4	CNTN5
ART4	LY6H
MGP	SPP1
IL26	IL24
IFNG	IL1A
IFNG	CXCL11
IFNG	CXCL10
IFNG	IDO1
IFNG	GZMB
IFNG	CXCL9
IFNG	IL23R
GNB3	S1PR5
GNB3	CXCL13
GNB3	CXCL10
GNB3	ADRA1D
GNB3	CXCL9
GNB3	CCL20
GNB3	CXCL11
GNB3	MC4R
GNB3	ADRA2C
GNB3	CCL1
GNB3	CXCL5
GNB3	CNR2
GNB3	DRD2
GNB3	GPR15
GNB3	INSL3
USP5	UBD
TPI1	FBP1
C12orf57	CYTL1
NANOG	PROM1
NANOG	NR0B1
RAB35	RAB3B
KLRB1	GZMB
GCLC	GAD1
ASF1A	HIST1H3J
FBXO5	PSMA8
TULP1	GUCY2D
MAPK14	BLK
HLA-DOA	HLA-DOB
GPLD1	LY6H
GPLD1	CNTN5
RPS12	HBA2
GMNN	PSMA8
GUCA1B	GUCY2D
TMEM30A	OLR1
TMEM30A	ATP10B
TMEM30A	SNAP25
TMEM30A	ATP8A2
TMEM30A	CLEC5A
TMEM30A	PIGR
LAMA4	LAMC3
LAMA4	PAK7
SLC6A7	IGLL5
PAPD7	FGG
HBEGF	ALOX15B
HBEGF	BTC
CDH9	CDH8
SPARC	SPP1
SPARC	LEFTY2
SPARC	FGG
GRM6	CXCL11
GRM6	ADRA2C
GRM6	CCL1
GRM6	S1PR5
GRM6	CXCL13
GRM6	CXCL10
GRM6	CXCL5
GRM6	CNR2
GRM6	DRD2
GRM6	CXCL9
GRM6	CCL20
IL12B	IL23R
IL4	IL4I1
IL4	IL1A
IL4	IFNG
IL4	CCL1
IL4	AICDA
IL4	IRF4
IL4	CXCL10
IL4	IDO1
IL4	CXCL9
IL4	IL23R
IL5	IFNG
IL5	CXCL10
IL5	CXCL9
IL5	IL23R
SKP1	PSMA8
NR3C1	IRF4
BNIP1	SNAP25
LTF	CHIT1
LTF	CAMP
LTF	LYZ
EHHADH	APOA1
CRBN	IRF4
HRG	LEFTY2
HRG	FGG
RBP2	APOA1
RBP1	APOA1
PFKFB4	FBP1
NPRL2	UBE2QL1
GNB4	CXCL11
GNB4	MC4R
GNB4	ADRA2C
GNB4	CCL1
GNB4	S1PR5
GNB4	CXCL13
GNB4	CXCL10
GNB4	CXCL5
GNB4	ADRA1D
GNB4	CNR2
GNB4	DRD2
GNB4	CXCL9
GNB4	CCL20
GNB4	GPR15
GNB4	INSL3
ABTB1	SLC4A1
TNNC1	TNNT1
NCK2	PAK7
SLC11A1	OLR1
